REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v
Census Regions,Mountain,2016,5,458,199,52,0,10,8,77,0
Census Regions,Pacific,2016,5,725,127,61,4,58,30,45,0
Census Regions,New England,2016,6,160,51,4,0,4,11,4,0
Census Regions,Mid-Atlantic,2016,6,210,53,13,3,7,9,6,0
Census Regions,East North Central,2016,6,339,110,14,0,2,2,8,0
Census Regions,West North Central,2016,6,295,115,3,2,0,1,5,0
Census Regions,South Atlantic,2016,6,494,121,13,5,16,3,4,0
Census Regions,East South Central,2016,6,82,14,4,0,5,1,1,0
Census Regions,West South Central,2016,6,103,18,12,1,9,2,3,0
Census Regions,Mountain,2016,6,514,214,81,0,13,8,93,0
Census Regions,Pacific,2016,6,1005,195,92,6,105,34,82,0
Census Regions,New England,2016,7,168,84,11,0,10,4,1,0
Census Regions,Mid-Atlantic,2016,7,255,100,8,2,3,16,11,0
Census Regions,East North Central,2016,7,401,166,13,1,0,2,6,0
Census Regions,West North Central,2016,7,392,146,9,2,0,6,17,0
Census Regions,South Atlantic,2016,7,608,250,23,2,23,5,8,0
Census Regions,East South Central,2016,7,101,28,2,0,3,1,1,0
Census Regions,West South Central,2016,7,170,32,19,8,5,9,6,0
Census Regions,Mountain,2016,7,647,279,93,1,13,14,116,0
Census Regions,Pacific,2016,7,1156,255,78,3,122,46,143,0
Census Regions,New England,2016,8,219,113,3,0,12,6,2,0
Census Regions,Mid-Atlantic,2016,8,387,183,9,2,5,24,18,0
Census Regions,East North Central,2016,8,484,214,15,9,0,11,13,0
Census Regions,West North Central,2016,8,452,183,6,3,3,7,32,0
Census Regions,South Atlantic,2016,8,745,365,26,6,33,18,18,0
Census Regions,East South Central,2016,8,120,31,2,0,8,4,1,0
Census Regions,West South Central,2016,8,202,47,13,0,16,6,8,0
Census Regions,Mountain,2016,8,670,256,83,3,20,19,136,0
Census Regions,Pacific,2016,8,1272,280,75,5,118,61,155,0
Census Regions,New England,2016,9,257,135,4,0,20,9,6,0
Census Regions,Mid-Atlantic,2016,9,353,167,7,6,6,13,19,0
Census Regions,East North Central,2016,9,538,272,11,7,4,20,19,0
Census Regions,West North Central,2016,9,457,200,9,5,1,7,28,0
Census Regions,South Atlantic,2016,9,806,436,26,7,20,26,20,0
Census Regions,East South Central,2016,9,129,45,5,0,8,0,4,0
Census Regions,West South Central,2016,9,231,58,18,1,15,7,11,0
Census Regions,Mountain,2016,9,761,292,151,5,19,21,114,0
Census Regions,Pacific,2016,9,1155,281,82,1,118,40,126,0
Census Regions,New England,2016,10,398,244,16,3,24,10,4,0
Census Regions,Mid-Atlantic,2016,10,389,219,17,5,8,14,23,0
Census Regions,East North Central,2016,10,611,301,20,4,8,27,22,0
Census Regions,West North Central,2016,10,534,227,14,15,3,12,27,0
Census Regions,South Atlantic,2016,10,972,537,37,12,31,44,43,0
Census Regions,East South Central,2016,10,158,58,7,0,19,1,1,0
Census Regions,West South Central,2016,10,206,45,23,2,13,8,7,0
Census Regions,Mountain,2016,10,727,243,134,0,43,17,128,0
Census Regions,Pacific,2016,10,1100,299,45,6,97,29,78,0
Census Regions,New England,2016,11,306,198,10,1,10,8,3,0
Census Regions,Mid-Atlantic,2016,11,358,168,12,3,2,29,21,0
Census Regions,East North Central,2016,11,414,180,12,2,6,23,18,0
Census Regions,West North Central,2016,11,389,158,9,5,1,12,23,0
Census Regions,South Atlantic,2016,11,809,348,14,3,26,28,38,0
Census Regions,East South Central,2016,11,143,40,1,0,17,4,0,0
Census Regions,West South Central,2016,11,175,24,26,1,11,5,6,0
Census Regions,Mountain,2016,11,542,154,93,0,29,12,106,0
Census Regions,Pacific,2016,11,975,244,36,9,83,33,63,0
Census Regions,New England,2016,12,288,139,5,0,31,5,6,0
Census Regions,Mid-Atlantic,2016,12,313,138,8,4,12,19,20,0
Census Regions,East North Central,2016,12,272,83,8,0,0,8,16,0
Census Regions,West North Central,2016,12,351,121,16,5,1,8,16,0
Census Regions,South Atlantic,2016,12,622,232,16,4,21,30,34,0
Census Regions,East South Central,2016,12,113,22,3,0,4,0,0,0
Census Regions,West South Central,2016,12,124,20,12,1,10,7,7,0
Census Regions,Mountain,2016,12,403,103,85,1,16,14,67,0
Census Regions,Pacific,2016,12,871,200,45,4,90,26,41,0
Census Regions,New England,2016,13,270,102,5,1,55,10,8,0
Census Regions,Mid-Atlantic,2016,13,282,103,8,6,12,21,24,0
Census Regions,East North Central,2016,13,275,73,4,0,0,13,13,0
Census Regions,West North Central,2016,13,323,109,12,12,2,9,20,0
Census Regions,South Atlantic,2016,13,521,166,11,5,28,28,26,0
Census Regions,East South Central,2016,13,99,14,0,0,10,0,0,0
Census Regions,West South Central,2016,13,145,23,21,0,16,7,4,0
Census Regions,Mountain,2016,13,393,80,71,2,10,23,79,0
Census Regions,Pacific,2016,13,763,137,48,7,75,16,37,0
Census Regions,New England,2016,14,174,58,1,0,30,6,7,0
Census Regions,Mid-Atlantic,2016,14,215,57,9,4,17,18,11,0
Census Regions,East North Central,2016,14,260,71,6,0,2,13,11,0
Census Regions,West North Central,2016,14,261,66,17,4,3,10,19,0
Census Regions,South Atlantic,2016,14,380,93,14,20,25,16,17,0
Census Regions,East South Central,2016,14,66,5,1,1,5,0,0,0
Census Regions,West South Central,2016,14,88,10,4,1,9,2,5,0
Census Regions,Mountain,2016,14,307,52,47,0,9,29,67,0
Census Regions,Pacific,2016,14,652,122,36,3,73,12,26,0
Census Regions,New England,2016,15,146,38,7,1,32,7,3,0
Census Regions,Mid-Atlantic,2016,15,168,33,14,0,9,18,16,0
Census Regions,East North Central,2016,15,217,45,7,0,4,8,10,0
Census Regions,West North Central,2016,15,232,48,10,5,1,7,27,0
Census Regions,South Atlantic,2016,15,378,75,11,6,22,29,38,0
Census Regions,East South Central,2016,15,74,9,0,0,3,0,0,0
Census Regions,West South Central,2016,15,99,13,8,1,18,2,2,0
Census Regions,Mountain,2016,15,200,32,31,0,3,9,44,0
Census Regions,Pacific,2016,15,576,90,29,3,56,8,22,0
