REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
Census Regions,East South Central,2016,3,2.05849,1.91509,353,192,X,384,87,49,1065,160,55611
Census Regions,West South Central,2016,3,3.86105,3.20253,804,669,X,826,246,171,2716,239,84808
Census Regions,Mountain,2016,3,1.85842,2.0529,376,318,X,546,148,190,1578,198,76867
Census Regions,Pacific,2016,3,2.39118,2.46116,373,198,X,549,85,67,1272,220,51683
Census Regions,New England,2016,4,1.70551,1.39793,210,90,X,321,44,22,687,142,49144
Census Regions,Mid-Atlantic,2016,4,2.36217,2.57473,1248,635,X,1314,276,167,3640,263,141374
Census Regions,East North Central,2016,4,1.51694,1.82318,607,363,X,700,168,113,1951,276,107011
Census Regions,West North Central,2016,4,0.990354,1.21189,116,91,X,191,28,14,440,138,36307
Census Regions,South Atlantic,2016,4,1.96678,1.91914,854,830,X,1410,298,184,3576,385,186333
Census Regions,East South Central,2016,4,1.7446,1.83489,419,269,X,507,86,59,1340,171,73029
Census Regions,West South Central,2016,4,4.28788,3.33177,772,695,X,1038,311,172,2988,238,89682
Census Regions,Mountain,2016,4,2.0346,2.24219,443,385,X,678,230,205,1941,190,86567
Census Regions,Pacific,2016,4,2.51241,2.59048,416,250,X,717,110,68,1561,233,60259
Census Regions,New England,2016,5,1.80717,1.54752,245,95,X,321,54,21,736,143,47560
Census Regions,Mid-Atlantic,2016,5,2.49089,2.7176,1211,767,X,1518,295,157,3948,265,145275
Census Regions,East North Central,2016,5,1.63594,1.98466,689,378,X,809,167,104,2147,268,108180
Census Regions,West North Central,2016,5,1.06318,1.43364,157,87,X,171,23,23,461,130,32156
Census Regions,South Atlantic,2016,5,1.95574,1.80958,699,828,X,1363,321,169,3380,371,186784
Census Regions,East South Central,2016,5,2.07198,1.90285,383,281,X,443,102,61,1270,166,66742
Census Regions,West South Central,2016,5,4.23766,3.37124,821,696,X,976,321,198,3012,240,89344
Census Regions,Mountain,2016,5,2.39189,2.59658,444,400,X,809,222,257,2132,189,82108
Census Regions,Pacific,2016,5,2.86841,2.91427,481,223,X,937,120,80,1841,241,63172
Census Regions,New England,2016,6,1.9911,1.59867,208,92,X,350,46,23,719,137,44975
Census Regions,Mid-Atlantic,2016,6,3.02335,3.13446,1301,886,X,1657,349,188,4381,258,139769
Census Regions,East North Central,2016,6,1.89974,2.29369,771,435,X,879,212,120,2417,276,105376
Census Regions,West North Central,2016,6,1.3524,1.83369,216,94,X,231,57,19,617,134,33648
Census Regions,South Atlantic,2016,6,2.30684,2.0575,825,1009,X,1515,381,181,3911,385,190085
Census Regions,East South Central,2016,6,2.17311,2.14707,359,314,X,469,112,71,1325,161,61712
Census Regions,West South Central,2016,6,4.90464,3.87269,821,831,X,1144,341,192,3329,229,85961
Census Regions,Mountain,2016,6,2.9117,3.25815,643,588,X,1095,283,280,2889,196,88670
Census Regions,Pacific,2016,6,3.43586,3.52342,496,341,X,1075,131,101,2144,224,60850
Census Regions,New England,2016,7,1.98808,1.70072,195,104,X,347,45,19,710,137,41747
Census Regions,Mid-Atlantic,2016,7,2.59203,3.16907,1347,983,X,1465,363,197,4355,257,137422
Census Regions,East North Central,2016,7,2.13676,2.48956,867,567,X,1049,279,140,2902,274,116567
Census Regions,West North Central,2016,7,1.86573,2.04578,205,139,X,261,55,38,698,131,34119
Census Regions,South Atlantic,2016,7,2.91853,2.51725,912,1419,X,1853,503,226,4913,389,195173
