REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
HHS Regions,Region 6,2013,48,1172,12.2014,64,0,1,73,0,5,0
HHS Regions,Region 7,2013,48,374,9.62567,33,0,2,0,0,1,0
HHS Regions,Region 8,2013,48,1009,22.2002,177,0,2,44,0,1,0
HHS Regions,Region 9,2013,48,619,8.07754,30,0,10,8,0,2,0
HHS Regions,Region 10,2013,48,362,8.28729,24,0,6,0,0,0,0
HHS Regions,Region 1,2013,49,311,10.6109,23,0,1,5,0,4,0
HHS Regions,Region 2,2013,49,867,5.65167,28,0,3,8,0,10,0
HHS Regions,Region 3,2013,49,808,9.40594,68,0,3,3,0,2,0
HHS Regions,Region 4,2013,49,2621,19.8398,139,0,4,340,0,37,0
HHS Regions,Region 5,2013,49,769,19.7659,140,0,0,10,0,2,0
HHS Regions,Region 6,2013,49,1782,20.3143,185,0,7,164,0,6,0
HHS Regions,Region 7,2013,49,458,9.82533,44,0,1,0,0,0,0
HHS Regions,Region 8,2013,49,1421,23.6453,273,0,3,57,0,3,0
HHS Regions,Region 9,2013,49,698,9.45559,49,0,6,6,0,5,0
HHS Regions,Region 10,2013,49,434,18.4332,74,0,6,0,0,0,0
HHS Regions,Region 1,2013,50,297,9.42761,21,0,2,3,0,2,0
HHS Regions,Region 2,2013,50,884,11.1991,66,0,7,20,0,6,0
HHS Regions,Region 3,2013,50,792,12.8788,94,0,6,0,0,2,0
HHS Regions,Region 4,2013,50,2618,18.1818,126,0,0,325,0,25,0
HHS Regions,Region 5,2013,50,795,21.5094,143,0,4,22,0,2,0
HHS Regions,Region 6,2013,50,2175,27.0805,239,0,9,332,0,9,0
HHS Regions,Region 7,2013,50,442,20.1357,86,0,2,1,0,0,0
HHS Regions,Region 8,2013,50,1481,28.8994,318,0,4,105,0,1,0
HHS Regions,Region 9,2013,50,778,13.1105,79,0,12,8,0,3,0
HHS Regions,Region 10,2013,50,575,29.3913,152,0,10,5,0,2,0
HHS Regions,Region 1,2013,51,299,22.0736,56,0,5,4,0,1,0
HHS Regions,Region 2,2013,51,982,14.664,84,0,2,55,0,3,0
HHS Regions,Region 3,2013,51,981,21.4067,202,0,6,0,0,2,0
HHS Regions,Region 4,2013,51,3054,24.1323,195,0,0,510,0,32,0
HHS Regions,Region 5,2013,51,928,25.9698,166,0,5,69,0,1,0
HHS Regions,Region 6,2013,51,3722,34.7931,457,0,16,801,0,21,0
HHS Regions,Region 7,2013,51,525,25.3333,129,0,1,3,0,0,0
HHS Regions,Region 8,2013,51,1878,32.3216,479,0,2,124,0,2,0
HHS Regions,Region 9,2013,51,929,24.1119,191,0,5,25,0,3,0
HHS Regions,Region 10,2013,51,717,41.5621,272,0,9,15,0,2,0
HHS Regions,Region 1,2013,52,400,36.75,138,0,3,4,0,2,0
HHS Regions,Region 2,2013,52,1218,22.8243,173,0,5,96,0,4,0
