REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
HHS Regions,Region 4,2014,2,3.03608,3.22867,951,1240,,1346,530,218,4285,332,132717
HHS Regions,Region 5,2014,2,2.79666,3.08383,830,732,,671,356,171,2760,306,89499
HHS Regions,Region 6,2014,2,6.94006,6.88999,1275,2315,,1839,876,353,6658,244,96633
HHS Regions,Region 7,2014,2,3.04754,1.69006,170,252,,240,77,39,778,93,46034
HHS Regions,Region 8,2014,2,2.56638,2.66115,310,488,,488,193,96,1575,120,59185
HHS Regions,Region 9,2014,2,4.15641,3.45834,698,814,,877,453,287,3129,259,90477
HHS Regions,Region 10,2014,2,3.36928,3.89874,101,182,,174,93,26,576,51,14774
HHS Regions,Region 1,2014,3,1.67317,1.74284,260,185,,313,69,34,861,158,49402
HHS Regions,Region 2,2014,3,3.07594,3.12066,1056,921,,1394,339,152,3862,250,123756
HHS Regions,Region 3,2014,3,3.35458,4.15443,754,1750,,1504,680,219,4907,240,118115
HHS Regions,Region 4,2014,3,2.82366,2.91163,808,1096,,1586,412,231,4133,337,141948
HHS Regions,Region 5,2014,3,2.51919,2.6772,776,717,,854,344,195,2886,300,107799
HHS Regions,Region 6,2014,3,5.78707,5.7519,1120,1830,,1864,601,278,5693,238,98976
HHS Regions,Region 7,2014,3,3.06195,1.81746,210,235,,334,85,50,914,93,50290
HHS Regions,Region 8,2014,3,2.25814,2.37225,296,403,,439,166,85,1389,120,58552
HHS Regions,Region 9,2014,3,4.19337,3.58346,653,831,,1082,392,340,3298,262,92034
HHS Regions,Region 10,2014,3,2.75802,2.96014,74,123,,147,61,22,427,51,14425
HHS Regions,Region 1,2014,4,1.87667,1.87731,244,160,,394,59,32,889,160,47355
HHS Regions,Region 2,2014,4,2.96352,3.03058,987,801,,1129,273,132,3322,253,109616
HHS Regions,Region 3,2014,4,3.47033,4.11163,711,1646,,1234,531,242,4364,244,106138
HHS Regions,Region 4,2014,4,2.92565,2.99851,888,850,,1449,416,192,3795,336,126563
HHS Regions,Region 5,2014,4,2.64636,2.69733,735,573,,967,269,157,2701,304,100136
HHS Regions,Region 6,2014,4,5.30023,5.10502,1019,1396,,1575,480,211,4681,240,91694
HHS Regions,Region 7,2014,4,2.95351,1.71393,173,218,,334,87,33,845,94,49302
HHS Regions,Region 8,2014,4,2.09262,2.22662,294,353,,421,116,65,1249,120,56094
HHS Regions,Region 9,2014,4,4.64163,3.84931,764,732,,1235,349,253,3333,258,86587
HHS Regions,Region 10,2014,4,2.40345,2.40274,63,89,,120,36,15,323,53,13443
HHS Regions,Region 1,2014,5,2.03318,1.8238,251,155,,504,62,32,1004,163,55050
HHS Regions,Region 2,2014,5,3.30294,2.81737,857,716,,1342,277,101,3293,255,116882
HHS Regions,Region 3,2014,5,3.01876,3.36736,637,1366,,1057,504,206,3770,242,111957
HHS Regions,Region 4,2014,5,2.65887,2.59137,662,722,,1388,309,175,3256,329,125648
HHS Regions,Region 5,2014,5,2.22933,2.27611,586,524,,783,243,128,2264,305,99468
HHS Regions,Region 6,2014,5,5.2044,4.80805,1040,1262,,1589,428,231,4550,249,94633
HHS Regions,Region 7,2014,5,2.75317,1.67764,156,203,,351,47,30,787,91,46911
HHS Regions,Region 8,2014,5,1.78441,1.93347,255,279,,387,112,47,1080,119,55858
HHS Regions,Region 9,2014,5,4.0091,3.43975,644,735,,1217,386,244,3226,250,93786
HHS Regions,Region 10,2014,5,1.7524,1.87689,45,69,,96,35,9,254,48,13533
HHS Regions,Region 1,2014,6,2.24365,2.09386,259,149,,527,59,42,1036,162,49478
HHS Regions,Region 2,2014,6,3.43908,2.80725,883,691,,1317,288,107,3286,260,117054
HHS Regions,Region 3,2014,6,2.8051,3.02796,436,1224,,929,449,176,3214,232,106144
HHS Regions,Region 4,2014,6,2.2635,2.27908,625,664,,1181,294,147,2911,323,127727
HHS Regions,Region 5,2014,6,2.03344,2.05615,552,443,,791,214,105,2105,308,102376
HHS Regions,Region 6,2014,6,4.56823,4.08569,934,1100,,1276,424,212,3946,250,96581
HHS Regions,Region 7,2014,6,2.0535,1.15321,127,132,,197,40,33,529,91,45872
HHS Regions,Region 8,2014,6,1.76779,1.8639,258,247,,391,112,26,1034,120,55475
HHS Regions,Region 9,2014,6,3.61715,3.10237,609,567,,1031,336,267,2810,255,90576
HHS Regions,Region 10,2014,6,1.59128,1.65111,46,61,,71,26,10,214,50,12961
HHS Regions,Region 1,2014,7,1.75096,1.68162,215,137,,445,47,24,868,165,51617
HHS Regions,Region 2,2014,7,3.12549,2.54201,747,596,,1104,254,90,2791,255,109795
HHS Regions,Region 3,2014,7,2.41601,2.81101,441,1048,,917,397,153,2956,241,105158
HHS Regions,Region 4,2014,7,1.97001,2.04474,475,486,,879,213,116,2169,319,106077
HHS Regions,Region 5,2014,7,1.91478,1.94789,596,430,,735,177,114,2052,296,105345
HHS Regions,Region 6,2014,7,3.88266,3.64261,772,896,,1202,301,192,3363,234,92324
HHS Regions,Region 7,2014,7,1.59839,0.966601,121,124,,158,47,20,470,93,48624
HHS Regions,Region 8,2014,7,1.50211,1.65271,225,226,,347,81,43,922,118,55787
HHS Regions,Region 9,2014,7,3.26964,2.72491,572,491,,866,294,214,2437,249,89434
HHS Regions,Region 10,2014,7,1.23503,1.26717,46,36,,64,18,3,167,48,13179
HHS Regions,Region 1,2014,8,1.78771,1.5355,188,140,,300,56,18,702,164,45718
HHS Regions,Region 2,2014,8,2.38968,2.26706,817,596,,889,246,109,2657,260,117200
HHS Regions,Region 3,2014,8,2.07722,2.39059,448,1005,,912,362,142,2869,242,120012
HHS Regions,Region 4,2014,8,1.52724,1.55525,479,438,,812,169,92,1990,321,127954
HHS Regions,Region 5,2014,8,1.98346,2.00191,606,437,,742,206,129,2120,299,105899
HHS Regions,Region 6,2014,8,3.7722,3.4244,801,901,,1206,284,136,3328,238,97185
HHS Regions,Region 7,2014,8,1.38378,0.891492,90,110,,154,28,32,414,90,46439
HHS Regions,Region 8,2014,8,1.50934,1.63533,260,198,,342,91,37,928,120,56747
HHS Regions,Region 9,2014,8,3.20835,2.49641,512,448,,705,229,175,2069,243,82879
HHS Regions,Region 10,2014,8,1.29149,1.23944,49,33,,59,13,3,157,48,12667
HHS Regions,Region 1,2014,9,1.51318,1.29378,191,102,,284,61,34,672,155,51941
HHS Regions,Region 2,2014,9,2.29577,2.02248,726,557,,828,233,99,2443,258,120792
HHS Regions,Region 3,2014,9,1.97427,2.20385,423,836,,869,264,132,2524,234,114527
HHS Regions,Region 4,2014,9,1.35391,1.38942,424,364,,788,160,111,1847,316,132933
HHS Regions,Region 5,2014,9,1.81723,1.88872,605,387,,773,200,120,2085,297,110392
HHS Regions,Region 6,2014,9,3.59481,3.28347,729,769,,1088,241,145,2972,225,90514
HHS Regions,Region 7,2014,9,1.29389,0.75502,90,95,,148,26,26,385,87,50992
HHS Regions,Region 8,2014,9,1.2317,1.36813,226,167,,333,53,34,813,119,59424
HHS Regions,Region 9,2014,9,2.90276,2.36285,505,403,,720,252,184,2064,239,87352
HHS Regions,Region 10,2014,9,0.663587,0.783102,34,11,,44,15,5,109,48,13919
HHS Regions,Region 1,2014,10,1.53377,1.30422,164,84,,328,40,32,648,148,49685
HHS Regions,Region 2,2014,10,2.34059,2.35945,766,567,,1118,247,97,2795,248,118460
HHS Regions,Region 3,2014,10,1.76977,2.01316,402,699,,760,256,119,2236,239,111069
HHS Regions,Region 4,2014,10,1.34508,1.42609,409,348,,647,148,88,1640,310,115000
HHS Regions,Region 5,2014,10,1.75243,1.76914,553,384,,649,187,97,1870,292,105701
HHS Regions,Region 6,2014,10,3.43723,3.16521,757,794,,973,235,134,2893,232,91400
HHS Regions,Region 7,2014,10,1.09709,0.625914,93,62,,107,18,28,308,89,49208
HHS Regions,Region 8,2014,10,1.37325,1.43353,206,165,,307,55,27,760,105,53016
HHS Regions,Region 9,2014,10,2.59216,2.10456,395,342,,626,232,159,1754,232,83343
HHS Regions,Region 10,2014,10,0.828104,1.00366,30,27,,60,12,11,140,49,13949
HHS Regions,Region 1,2014,11,1.35777,1.24036,188,92,,207,34,24,545,153,43939
HHS Regions,Region 2,2014,11,2.53132,2.69082,809,668,,1405,308,157,3347,236,124386
HHS Regions,Region 3,2014,11,1.61044,1.66655,380,611,,642,219,104,1956,229,117368
HHS Regions,Region 4,2014,11,1.14658,1.05182,351,268,,422,121,60,1222,302,116180
HHS Regions,Region 5,2014,11,1.64571,1.77612,578,357,,632,179,108,1854,287,104385
HHS Regions,Region 6,2014,11,3.19107,2.78015,629,694,,755,252,140,2470,225,88844
HHS Regions,Region 7,2014,11,1.36946,0.734178,91,84,,126,30,22,353,82,48081
HHS Regions,Region 8,2014,11,1.12482,1.23264,203,124,,295,47,41,710,119,57600
HHS Regions,Region 9,2014,11,2.19768,1.84029,366,302,,500,164,160,1492,226,81074
HHS Regions,Region 10,2014,11,0.601935,0.616421,21,10,,38,6,0,75,45,12167
HHS Regions,Region 1,2014,12,1.69082,1.38938,196,100,,295,45,29,665,148,47863
HHS Regions,Region 2,2014,12,2.88815,3.33704,1079,831,,1819,374,188,4291,248,128587
HHS Regions,Region 3,2014,12,1.66132,1.71377,399,557,,677,244,93,1970,234,114951
HHS Regions,Region 4,2014,12,1.04407,1.03332,332,249,,501,116,75,1273,306,123195
HHS Regions,Region 5,2014,12,1.61678,1.65121,492,375,,573,170,121,1731,287,104832
HHS Regions,Region 6,2014,12,3.00339,2.78187,640,693,,835,247,136,2551,225,91701
HHS Regions,Region 7,2014,12,0.989103,0.586841,80,65,,65,27,18,255,86,43453
HHS Regions,Region 8,2014,12,0.995314,1.12442,196,133,,268,32,16,645,117,57363
HHS Regions,Region 9,2014,12,2.19878,1.8148,344,268,,546,162,132,1452,229,80009
HHS Regions,Region 10,2014,12,0.814837,0.814361,40,14,,32,5,2,93,42,11420
HHS Regions,Region 1,2014,13,1.59596,1.31223,165,93,,294,53,45,650,143,49534
HHS Regions,Region 2,2014,13,3.36103,3.5743,1110,944,,2170,396,189,4809,244,134544
HHS Regions,Region 3,2014,13,1.78393,1.75482,372,539,,678,181,95,1865,218,106279
HHS Regions,Region 4,2014,13,0.961299,0.936132,313,264,,472,91,66,1206,305,128828
HHS Regions,Region 5,2014,13,1.50233,1.68954,556,367,,597,170,99,1789,284,105887
HHS Regions,Region 6,2014,13,2.85576,2.68909,521,644,,850,198,98,2311,221,85940
HHS Regions,Region 7,2014,13,0.834714,0.403899,51,40,,64,18,23,196,86,48527
HHS Regions,Region 8,2014,13,0.906605,1.01688,160,129,,218,46,18,571,116,56152
HHS Regions,Region 9,2014,13,1.85634,1.51007,256,226,,439,140,132,1193,227,79003
HHS Regions,Region 10,2014,13,0.669393,0.680142,19,10,,30,5,7,71,43,10439
HHS Regions,Region 1,2014,14,1.82481,1.60484,180,120,,412,72,41,825,151,51407
HHS Regions,Region 2,2014,14,3.27897,3.50437,1099,972,,1892,453,207,4623,239,131921
HHS Regions,Region 3,2014,14,1.89554,1.78461,389,517,,755,209,95,1965,215,110108
HHS Regions,Region 4,2014,14,0.870891,0.910819,296,209,,437,108,76,1126,305,123625
HHS Regions,Region 5,2014,14,1.45804,1.64196,545,345,,575,183,133,1781,281,108468
HHS Regions,Region 6,2014,14,2.7703,2.59806,559,592,,844,220,98,2313,219,89028
HHS Regions,Region 7,2014,14,0.988517,0.495124,57,56,,74,25,18,230,79,46453
HHS Regions,Region 8,2014,14,0.937978,1.07236,138,128,,254,36,19,575,114,53620
HHS Regions,Region 9,2014,14,1.87645,1.53245,273,202,,379,125,115,1094,222,71389
HHS Regions,Region 10,2014,14,0.752904,0.886525,46,12,,37,5,5,105,41,11844
HHS Regions,Region 1,2014,15,1.96088,1.84231,201,131,,518,67,59,976,157,52977
HHS Regions,Region 2,2014,15,3.24824,3.25429,1096,834,,1749,368,188,4235,234,130136
HHS Regions,Region 3,2014,15,1.65647,1.6767,375,487,,715,198,105,1880,214,112125
HHS Regions,Region 4,2014,15,0.839411,0.80887,265,202,,384,96,67,1014,298,125360
HHS Regions,Region 5,2014,15,1.33854,1.57427,574,338,,539,185,95,1731,277,109956
HHS Regions,Region 6,2014,15,2.87728,2.67498,610,570,,944,182,117,2423,220,90580
HHS Regions,Region 7,2014,15,0.650163,0.396323,52,38,,70,15,13,188,79,47436
HHS Regions,Region 8,2014,15,0.903504,1.00132,128,115,,223,52,27,545,108,54428
HHS Regions,Region 9,2014,15,1.74535,1.50997,239,211,,417,147,111,1125,216,74505
HHS Regions,Region 10,2014,15,0.633137,0.729269,34,17,,28,6,4,89,42,12204
HHS Regions,Region 1,2014,16,1.73466,1.56414,157,112,,416,57,47,789,148,50443
HHS Regions,Region 2,2014,16,2.64559,2.52507,941,590,,983,267,183,2964,235,117383
HHS Regions,Region 3,2014,16,1.29142,1.34172,351,382,,465,164,85,1447,212,107847
HHS Regions,Region 4,2014,16,0.786355,0.800096,285,189,,374,81,66,995,297,124360
HHS Regions,Region 5,2014,16,1.22855,1.43858,467,298,,453,157,105,1480,264,102879
